cited_person_clean,wikidata_id,wikidata_label,cited_gender
Yves Le Cabellec,Q3573763,Yves Le Cabellec,male
"Mademoiselle, Monsieur",,,unknown
Serge Charles,Q3479237,Serge Charles,male
Claude Prouvoyeur,Q2978003,Claude Prouvoyeur,male
Amand Moriss,,,unknown
René Carpentier,Q3425967,René Carpentier,male
Marcel Dassault,Q160802,Marcel Dassault,male
Lucien Pignion,Q3265673,Lucien Pignion,male
Francis Defrance,,,unknown
Nicole Péry,Q765852,Nicole Péry,female
Adrien Zeller,Q377291,Adrien Zeller,male
Lucien Durand,Q57705568,Lucien Durand,male
Eddy Kenig,,,unknown
